cell_type	gene	p_value	Ag_class
cLEC	Ctsd	0	Ag-high
cLEC	Tgfa	0	Ag-high
cLEC	Selenop	0	Ag-high
cLEC	Dab2	0	Ag-high
cLEC	App	0	Ag-high
cLEC	Stt3b	0	Ag-high
cLEC	Lgmn	0	Ag-high
cLEC	Grn	0	Ag-high
cLEC	Cox8a	0	Ag-low
cLEC	Plcd1	0	Ag-high
cLEC	Nfatc1	0	Ag-high
cLEC	Parm1	0	Ag-high
cLEC	Prox1	0	Ag-high
cLEC	Col4a2	0	Ag-low
cLEC	Itgb1	0	Ag-low
cLEC	Nudt4	0	Ag-high
cLEC	Gja1	0	Ag-low
cLEC	Cpe	0	Ag-high
cLEC	Tmsb4x	0	Ag-low
cLEC	Casp4	0	Ag-low
cLEC	Ifitm2	0	Ag-low
cLEC	Ltbp4	0	Ag-low
cLEC	AY036118	0.004566210045662156	Ag-low
cLEC	Psap	0.004566210045662156	Ag-high
cLEC	Ets1	0.004566210045662156	Ag-high
cLEC	Arf4	0.004566210045662156	Ag-high
cLEC	Atp6ap1	0.004566210045662156	Ag-high
cLEC	Dad1	0.004566210045662156	Ag-low
cLEC	Fn1	0.004566210045662156	Ag-low
cLEC	Cldn5	0.004566210045662156	Ag-high
cLEC	Sox4	0.004566210045662156	Ag-high
cLEC	Ube2e3	0.006849315068493178	Ag-high
cLEC	Lamc1	0.006849315068493178	Ag-low
cLEC	H2-K1	0.011415525114155223	Ag-high
cLEC	Gdf10	0.011415525114155223	Ag-high
cLEC	Prcp	0.011415525114155223	Ag-high
cLEC	Ccnt2	0.011415525114155223	Ag-high
cLEC	Adgrl4	0.011415525114155223	Ag-low
cLEC	Ccl21a	0.011415525114155223	Ag-low
cLEC	Dusp2	0.01598173515981738	Ag-high
cLEC	Srsf6	0.020547945205479423	Ag-high
cLEC	Klf7	0.020547945205479423	Ag-high
cLEC	Ahnak	0.020547945205479423	Ag-low
cLEC	Sh3bgrl3	0.020547945205479423	Ag-low
cLEC	Tubb5	0.020547945205479423	Ag-high
cLEC	Degs1	0.022831050228310557	Ag-high
cLEC	Ctla2a	0.022831050228310557	Ag-low
cLEC	Lyve1	0.022831050228310557	Ag-low
cLEC	Nts	0.022831050228310557	Ag-low
cLEC	Aplp2	0.02511415525114158	Ag-high
cLEC	Cyr61	0.03196347031963476	Ag-high
cLEC	Naaa	0.03196347031963476	Ag-high
cLEC	Ano6	0.03196347031963476	Ag-low
cLEC	Tspo	0.03196347031963476	Ag-low
cLEC	Kifap3	0.03196347031963476	Ag-low
cLEC	Filip1l	0.03196347031963476	Ag-low
cLEC	Kat2b	0.03196347031963476	Ag-high
cLEC	Tcf4	0.03196347031963476	Ag-high
cLEC	Snx6	0.03196347031963476	Ag-low
cLEC	Ankrd37	0.03196347031963476	Ag-low
cLEC	Pabpn1	0.0365296803652968	Ag-low
cLEC	Emp1	0.0365296803652968	Ag-low
cLEC	Cmah	0.0365296803652968	Ag-high
cLEC	Dst	0.038812785388127824	Ag-low
cLEC	Ctgf	0.047945205479452024	Ag-high
cLEC	Trp53i11	0.047945205479452024	Ag-low
cLEC	Mat2a	0.047945205479452024	Ag-high
cLEC	Elob	0.047945205479452024	Ag-low
cLEC	Mrps26	0.047945205479452024	Ag-low
cLEC	Rbms1	0.047945205479452024	Ag-high
cLEC	Atp5c1	0.047945205479452024	Ag-low
cLEC	Fundc2	0.047945205479452024	Ag-low
cLEC	Snhg9	0.047945205479452024	Ag-high
cLEC	Cttnbp2nl	0.047945205479452024	Ag-low
fLEC	Actg1	0	Ag-high
fLEC	F11r	0	Ag-high
fLEC	Arl1	0	Ag-low
fLEC	Hmgb1	0	Ag-low
fLEC	Clu	0	Ag-low
fLEC	Kdr	0	Ag-high
fLEC	Lgmn	0	Ag-high
fLEC	Mprip	0	Ag-low
fLEC	Macf1	0	Ag-low
fLEC	Bok	0	Ag-low
fLEC	Ubap2l	0	Ag-low
fLEC	Igfbp7	0	Ag-low
fLEC	Ptx3	0	Ag-low
fLEC	Plekhg1	0.0022371364653244186	Ag-low
fLEC	Arhgap29	0.006711409395973145	Ag-high
fLEC	Slc9a1	0.006711409395973145	Ag-low
fLEC	Suclg1	0.006711409395973145	Ag-low
fLEC	Fth1	0.006711409395973145	Ag-low
fLEC	Grn	0.006711409395973145	Ag-high
fLEC	Slc38a2	0.006711409395973145	Ag-low
fLEC	Rrbp1	0.008948545861297563	Ag-low
fLEC	Uba52	0.008948545861297563	Ag-low
fLEC	Ctsd	0.01342281879194629	Ag-high
fLEC	H2-K1	0.022371364653243853	Ag-high
fLEC	Hint1	0.02460850111856827	Ag-low
fLEC	Atp5g1	0.029082774049216997	Ag-low
fLEC	Park7	0.031319910514541416	Ag-low
fLEC	Glycam1	0.03355704697986572	Ag-low
fLEC	Relb	0.03803131991051456	Ag-low
fLEC	Camk4	0.04250559284116329	Ag-low
fLEC	Ndufa7	0.046979865771812124	Ag-low
fLEC	Adipor2	0.04921700223713643	Ag-low
Collecting	Clca3a1	0	Ag-high
Collecting	Nudt4	0	Ag-high
Collecting	Tulp4	0	Ag-high
Collecting	Uba52	0	Ag-low
Collecting	Wnk1	0.004807692307692291	Ag-high
Collecting	Fli1	0.004807692307692291	Ag-high
Collecting	Dapk1	0.004807692307692291	Ag-high
Collecting	2010107E04Rik	0.004807692307692291	Ag-high
Collecting	H2-Q6	0.004807692307692291	Ag-high
Collecting	Ctnnb1	0.004807692307692291	Ag-high
Collecting	Atp6v1h	0.004807692307692291	Ag-high
Collecting	Rap1b	0.004807692307692291	Ag-high
Collecting	Eif5	0.004807692307692291	Ag-high
Collecting	Rock2	0.004807692307692291	Ag-high
Collecting	Nsd3	0.004807692307692291	Ag-high
Collecting	Tgm2	0.004807692307692291	Ag-high
Collecting	Ifitm3	0.004807692307692291	Ag-low
Collecting	Nfatc1	0.007211538461538436	Ag-high
